param,known_mirna,novel_mirna,pirna,overall
accuracy,95.21394001984488,99.2475092874029,99.44902707275804,94.039
precision,100.0,100.0,100.0,100.0
sensitivity,76.365,92.87,94.79,88.00833333333334
specificity,100.0,100.0,100.0,100.0
f1_score,86.59881495761631,96.30320941566859,97.3253247086606,93.40911636064851
