,known_mirna,novel_mirna,pirna,other
known_mirna,140957.0,0.0,0.0,0.0
novel_mirna,268.0,95734.0,0.0,0.0
pirna,0.0,0.0,92773.0,0.0
other,58775.0,4266.0,7227.0,600000.0
