param,known_mirna,novel_mirna,pirna,overall
accuracy,94.02705291920037,99.51455998835115,99.22845420741739,92.9464
precision,100.0,99.72083914918439,100.0,99.90694638306145
sensitivity,70.4785,95.734,92.773,86.3285
specificity,100.0,99.96786563037321,100.0,99.98928854345775
f1_score,82.68315359414824,97.68675829838472,96.25103100537939,92.20698096597079
