hsa-piR-23019
hsa-piR-23020
hsa-piR-32157
hsa-piR-32158
hsa-piR-32159
hsa-piR-32160
hsa-piR-32161
hsa-piR-32166
hsa-piR-32178
hsa-piR-32181
hsa-piR-32185
hsa-piR-32186
hsa-piR-32194
hsa-piR-32234
hsa-piR-32237
hsa-piR-32838
hsa-piR-32839
hsa-piR-32845
hsa-piR-32847
hsa-piR-32852
hsa-piR-32920
hsa-piR-32963
hsa-piR-32978
hsa-piR-32990
hsa-piR-32995
hsa-piR-33010
hsa-piR-33013
hsa-piR-33053
