,CL105_NS_Run18_0815_trimmed.result,CL146_NS_Run18_0815_trimmed.result,CL152_NS_Run18_0815_trimmed.result,CL154_NS_Run18_0815_trimmed.result,CL156_NS_Run18_0815_trimmed.result,CL162_NS_Run18_0815_trimmed.result,CL164_NS_Run18_0815_trimmed.result,CL167_trimmed.result,CL172_NS_Run18_0815_trimmed.result,CL176_trimmed.result,CL183_trimmed.result,CL187_NS_Run18_0815_trimmed.result,CL191_trimmed.result,CL196_NS_Run18_0815_trimmed.result,CL203_NS_Run18_0815_trimmed.result,CL213_trimmed.result,CL214_NS_Run18_0815_trimmed.result,CL219_NS_Run18_0815_trimmed.result,CL228_trimmed.result,CL236_trimmed.result,CL240_NS_Run18_0815_trimmed.result,CL244_trimmed.result,CL253_trimmed.result,CL41_NS_Run18_0815_trimmed.result,CL50_NS_Run18_0815_trimmed.result,CL53_NS_Run18_0815_trimmed.result,CL56_NS_Run18_0815_trimmed.result,CL85_NS_Run18_0815_trimmed.result,Female-Ctrl_NS_Run18_0815_trimmed.result,Male-Ctrl_NS_Run18_0815_trimmed.result
novelMiR_39-2,0,972,904,0,2086,1050,648,0,0,50,0,184,0,294,1004,630,1004,0,96,0,1450,200,0,1198,0,1646,2310,1032,1358,0
novelMiR_142,2994,2832,3540,1071,11367,4179,3324,138,9756,135,69,453,102,1275,2157,3186,3534,339,423,0,2937,921,0,3096,1848,3975,5583,2043,8130,4212
novelMiR_146,0,0,0,36,20,26,0,0,0,0,0,0,0,0,0,22,40,0,0,0,18,0,0,22,50,26,0,0,36,34
novelMiR_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,192,0
novelMiR_33-2,74,47,117,0,0,0,0,8,194,0,0,0,0,69,0,35,208,13,0,0,141,0,0,112,0,0,152,0,74,46
novelMiR_152,0,129,414,189,213,0,0,0,216,0,0,123,0,126,0,342,0,39,144,0,261,0,0,183,744,102,264,426,372,207
novelMiR_153,20,36,40,28,20,32,0,0,52,0,0,0,0,28,136,20,36,0,0,0,32,0,0,32,112,48,80,0,24,20
novelMiR_155,3072,3435,28254,5154,7299,10140,6879,90,1680,0,0,0,414,0,0,681,1962,267,1611,0,0,1581,51,0,8238,0,0,1998,564,459
novelMiR_156,1652,1700,2036,608,5580,2256,1744,64,4056,24,24,252,0,828,1640,1276,2132,168,228,0,1772,516,0,1676,1200,2220,2860,1012,3816,1844
novelMiR_158,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,66,276,0,0,0,16,0,0,0,0,0,0,20,334,478
novelMiR_159,0,0,0,13,0,0,0,0,18,0,0,6,0,0,8,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_160,0,0,0,0,0,78,0,0,30,0,0,0,0,0,0,21,0,0,0,0,63,0,0,36,81,33,48,846,57,18
novelMiR_161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,72,42
novelMiR_162,3364,7352,14232,2908,12316,4136,5192,0,9888,488,428,0,260,2892,18396,2404,7828,0,1016,0,19200,1464,116,6868,8204,12064,11036,8448,9420,1984
novelMiR_164,318,1263,2724,429,2151,1008,777,93,1569,57,87,312,63,303,2091,468,1296,234,105,0,3600,321,0,765,0,1494,849,1173,2058,0
novelMiR_138-2,10263,2376,7317,2784,2592,0,2385,468,5655,0,72,1404,60,2664,15384,4650,0,0,495,0,0,0,0,8979,6975,3573,10908,5511,0,4056
novelMiR_168,40,84,168,56,160,20,52,0,60,0,0,20,0,40,52,52,132,0,0,0,76,28,0,168,64,140,196,28,88,24
novelMiR_17-1,0,39,69,30,48,66,39,0,27,207,165,0,96,0,51,93,66,0,72,0,51,189,0,57,57,39,48,0,51,0
novelMiR_91-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,117,0,0
novelMiR_4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_142-2,996,942,1179,357,3787,1392,1107,46,3251,45,23,151,34,425,719,1057,1177,113,141,0,978,307,0,1031,614,1325,1860,680,2707,1402
novelMiR_175,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_31-1,0,37,0,0,0,0,0,0,18,0,0,0,0,0,67,18,0,0,13,0,0,0,0,0,0,0,0,0,45,34
novelMiR_179,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,28,46,0,0,0,0,0,0,0,0,0,0,0,86,48
novelMiR_47-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,9,0,0,0,6,0,0,0,0,0,0,0,0,0
novelMiR_181,0,0,0,0,30,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,12,0,0,0,0,16,0,0,82,48
novelMiR_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_183,0,0,0,141,135,750,0,0,477,0,0,0,0,63,252,453,219,0,33,0,186,30,0,0,150,0,231,597,330,66
novelMiR_76-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,90,0,0
novelMiR_76-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_187,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,167,0,0,199,0,0
novelMiR_188,0,100,116,76,28,180,20,0,112,0,0,20,0,40,152,112,172,0,0,0,240,28,0,468,156,248,68,0,192,68
novelMiR_3-16,0,200,376,132,280,120,84,0,208,0,0,48,0,40,304,40,384,0,0,0,588,64,0,348,120,240,552,132,356,128
novelMiR_115-1,0,86,140,0,534,408,72,0,196,0,0,32,0,40,204,118,276,0,0,0,236,46,0,138,128,0,0,96,280,0
novelMiR_192,0,272,0,288,0,0,0,0,0,0,0,0,0,0,356,196,396,0,0,0,260,60,0,0,0,0,332,0,500,196
novelMiR_193,0,368,56,1308,0,32,52,0,440,48,0,0,0,84,196,164,288,0,196,0,0,32,0,168,0,144,1028,0,1464,200
novelMiR_195,354,456,870,522,1020,354,390,54,1080,36,0,120,0,426,768,198,894,132,66,0,1092,90,0,1380,972,894,1488,960,540,378
novelMiR_196,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,7,0,0
novelMiR_197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0
novelMiR_198,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,16,0
novelMiR_199,0,45,18,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,93,0,174,213
