,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-652,122,151,147,0,100,623,96,12,0,6,0,36,0,126,257,156,223,26,90,0,139,12,0,274,126,270,0,56,550,192
hsa-mir-1277,30,167,167,157,141,27,105,9,184,0,0,35,0,37,188,16,172,20,49,0,128,5,0,52,64,117,80,56,269,55
hsa-mir-664b,16,30,58,14,59,26,22,0,49,0,0,10,0,19,55,18,72,0,7,0,37,10,0,23,63,28,50,29,23,0
hsa-mir-34a,0,33,816,62,119,0,48,34,138,18,25,58,10,0,245,23,210,15,72,0,525,0,0,0,6,57,0,119,0,12
hsa-mir-3605,0,10,11,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,10,0,11,12,0,0,0
hsa-mir-101-1,12817,46831,97702,25852,56447,50368,39496,3219,47449,3428,3811,10122,2006,23946,95806,4898,90947,4768,8755,150,76626,8083,693,53985,46563,58057,52349,28522,36591,7888
hsa-mir-186,2239,21718,23036,11594,19383,34286,12119,535,16374,1085,875,1803,1028,4238,22972,5980,31634,504,1518,12,24991,4608,24,18337,13830,19392,29130,7898,23593,8851
hsa-mir-190b,0,8,7,29,18,21,8,0,30,0,0,0,0,7,38,7,30,0,0,0,7,0,0,0,11,6,11,8,14,0
hsa-mir-9-1,0,89,939,60,9,11,10,0,47,0,0,0,11,0,223,46,0,118,230,0,62,13,0,93,13,10,26,0,55,23
hsa-mir-1295a,25,164,149,29,214,208,134,6,66,0,8,25,0,12,286,36,231,10,6,0,140,19,0,149,313,122,230,95,6,0
