,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-550a-3,32,49,47,16,49,53,26,0,26,0,0,11,0,0,75,21,43,0,0,0,40,8,0,19,15,78,16,6,55,21
hsa-mir-93,1117,2910,4902,2671,2681,3724,1723,0,3766,269,240,705,211,792,4359,1596,4708,218,773,0,3901,614,21,3055,2591,5090,4462,0,5561,1894
hsa-mir-106b,718,1005,2205,1000,1426,1294,706,57,0,50,0,347,0,0,1834,0,2186,130,293,0,1783,0,0,0,1067,2227,0,0,0,0
hsa-mir-182,1202,0,583,472,151,0,129,53,880,0,0,0,0,89,0,0,1028,23,146,0,0,181,0,437,157,5877,496,68,1641,1954
hsa-mir-183,148,78,44,14,23,11,10,0,62,12,0,0,0,0,33,12,98,0,12,0,15,0,0,25,16,440,0,0,50,41
hsa-mir-29a,12279,0,68384,0,0,0,0,0,0,1429,1461,0,0,0,79114,0,83536,2139,0,32,59037,6691,132,0,39727,0,0,0,0,0
hsa-mir-29b-1,0,1729,4395,820,4070,0,1180,82,1706,0,51,420,0,1367,3683,0,3999,106,0,0,2818,0,0,0,0,2692,0,753,0,0
hsa-mir-598,0,0,387,0,267,253,228,24,0,13,19,103,11,0,0,0,0,141,75,0,253,44,0,214,0,268,171,0,252,73
hsa-mir-320a,254,1138,1716,1569,1401,2936,653,53,1911,79,32,232,51,618,2477,589,2155,45,190,0,1681,224,0,1735,1707,1807,2994,703,2293,1457
hsa-mir-486,95582,20522,53248,24599,17644,29495,15858,1345,29744,1416,722,6225,768,13873,40761,17566,78479,2092,8524,14,25511,6402,71,38629,23429,302717,68060,9512,46945,62820
hsa-mir-486*,95582,20522,53248,24599,17644,29495,15858,1345,29744,1416,722,6225,768,13873,40761,17566,78479,2092,8524,14,25511,6402,71,38629,23429,302717,68060,9512,46945,62820
hsa-mir-30b,2345,9119,19160,4139,8588,9818,6353,619,6587,160,312,1223,136,3355,10704,1416,16453,796,1136,8,11259,1419,29,5346,8147,7541,8725,4014,6965,1997
hsa-mir-30d,0,0,45791,22469,0,0,0,0,30322,857,0,0,646,0,0,10949,0,0,0,0,41976,7617,0,0,0,0,47126,14902,43646,23778
hsa-mir-151a,1074,15266,519,11149,78,3207,364,29,9541,437,304,1182,200,6684,20114,4026,4082,897,4337,0,218,448,33,10486,247,2674,7705,0,30070,17050
hsa-mir-31,17,24,30,64,0,10,20,0,171,0,0,0,0,17,76,0,73,0,22,0,42,7,0,62,7,39,6,10,18,0
hsa-mir-1299,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,126,0,9,67,0,0
hsa-mir-7-1,45,105,68,47,0,114,0,0,70,7,0,19,0,31,173,0,133,7,23,0,90,0,0,160,55,120,89,25,106,0
hsa-mir-199b,197,1328,511,2887,247,258,317,27,2660,56,25,245,35,369,1225,935,889,66,283,0,197,222,0,640,257,360,2296,117,6009,3005
hsa-mir-221,0,4697,5068,5552,7361,0,4427,0,0,0,172,0,172,0,0,0,7654,0,0,0,6274,953,0,4487,2020,5100,11115,0,0,0
hsa-mir-222,376,0,1090,0,0,1812,0,0,0,0,0,361,0,789,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1468,16,136,133,58,77,49,122,0,127,12,0,14,0,17,185,70,90,8,0,0,101,45,0,163,89,71,196,57,148,100
hsa-mir-421,44,329,395,306,207,128,136,14,386,0,11,41,8,0,180,291,336,20,0,0,345,71,0,249,165,300,397,77,600,346
hsa-mir-374b,165,346,379,372,371,278,149,19,446,5,0,52,8,102,369,259,585,31,46,0,342,50,0,284,298,281,403,101,372,226
hsa-mir-374a,0,863,1323,495,0,0,484,56,838,61,64,177,63,0,1236,0,0,86,132,0,1006,107,0,529,600,0,610,406,737,193
hsa-mir-361,833,5021,8011,1394,7659,7365,3664,253,5125,344,312,1067,187,2148,5752,1623,6899,502,734,0,5723,978,56,4722,0,5751,7623,2759,7678,1391
hsa-mir-766,39,293,189,192,132,63,100,15,232,0,0,55,0,71,226,102,213,32,43,0,157,10,0,126,147,114,309,71,266,193
hsa-mir-363,763,748,2009,716,179,408,297,51,1595,104,26,500,63,210,2079,656,1266,59,387,0,400,177,0,0,98,2169,445,622,4556,0
hsa-mir-92a-2,25638,64478,54150,43672,65628,74335,43608,4831,57636,2558,2835,11220,1572,25215,81284,37275,91538,8010,12774,42,98731,14359,502,84522,80644,96334,93255,32810,129929,56820
hsa-mir-19b-2,487,1904,1909,567,2967,2819,1184,95,2406,55,29,241,32,440,4552,295,2828,48,159,0,3257,459,0,1419,2333,1381,2077,1029,3022,548
hsa-mir-20b,36,28,162,30,13,22,9,5,92,0,0,25,0,13,128,23,66,0,23,0,25,19,0,13,6,140,25,35,124,22
hsa-mir-106a,23,35,90,32,19,27,17,0,71,0,0,12,0,15,87,16,61,0,8,0,32,7,0,11,8,91,20,25,82,21
hsa-mir-450b,10,39,49,60,43,6,24,0,84,0,0,11,0,9,37,60,41,0,13,0,15,10,0,34,23,29,30,0,20,14
hsa-mir-450a-1,11,20,28,46,21,7,22,0,85,0,0,0,0,11,32,32,30,0,10,0,9,10,0,8,14,16,7,0,0,11
hsa-mir-450a-2,11,20,28,46,21,7,22,0,85,0,0,0,0,11,32,32,30,0,10,0,9,10,0,8,14,16,7,0,0,11
hsa-mir-542,6,6,27,40,12,0,18,0,44,0,0,7,0,12,22,11,32,0,7,0,11,5,0,9,11,10,13,0,6,7
hsa-mir-424,57,45,53,121,51,15,40,0,246,0,0,29,0,48,60,0,98,5,25,0,15,20,0,32,43,0,0,0,31,0
hsa-mir-505,0,112,120,70,0,48,54,0,118,0,0,0,0,0,0,0,105,10,0,0,113,0,0,62,112,0,69,0,97,0
hsa-let-7b,1598,4685,13917,3906,4308,7320,3958,450,6316,219,158,2156,274,2993,7785,2811,5679,452,776,5,8440,1009,19,9708,3950,9018,11386,2375,5760,3920
hsa-let-7b_1,31,71,196,75,53,66,50,11,99,0,0,29,0,22,132,81,103,16,17,0,126,11,0,80,93,69,151,33,68,19
hsa-let-7c,99,276,488,201,262,321,180,23,248,34,25,113,24,149,377,133,396,35,149,0,221,69,13,466,151,413,447,85,326,307
hsa-let-7d,820,4097,4620,2801,3522,3648,2527,150,3646,77,76,793,63,1230,4070,1998,3996,305,594,0,4030,498,8,4265,2325,5709,6809,1565,6657,5236
hsa-let-7d_1,177,350,352,420,291,308,238,16,493,18,14,113,13,187,454,386,653,54,66,0,351,79,0,317,412,400,427,102,666,345
hsa-let-7e,12,152,58,178,17,31,25,7,252,6,0,27,10,27,86,63,96,5,81,0,56,29,0,141,13,48,378,11,588,1267
hsa-let-7f-1,9,52,26,23,37,27,14,0,42,0,0,0,0,10,51,17,34,0,11,0,46,7,0,22,31,33,47,9,35,12
hsa-let-7f-2,25,131,170,52,83,17,96,9,111,12,21,24,0,28,138,15,152,19,15,0,152,19,0,95,102,96,121,75,91,28
hsa-let-7g,13711,102440,128274,32814,118789,86504,68265,3986,57248,1816,3406,14611,1716,29057,88897,21311,107875,6690,11079,42,106303,14702,285,115754,48265,117620,135825,43679,80753,34403
hsa-let-7g_1,57,161,249,75,235,99,118,18,155,6,8,41,0,73,239,32,314,25,31,0,238,9,0,137,136,160,170,106,116,27
hsa-let-7i,6221,14942,19013,14257,24817,27516,12081,1250,28086,979,444,6818,553,11723,51605,11306,33628,2006,5177,17,27056,4221,66,20317,18279,22463,30302,12516,29640,13707
hsa-let-7i_1,287,481,381,312,540,784,290,38,858,67,28,279,31,462,1743,459,893,53,239,0,703,58,6,654,604,501,687,260,568,177
hsa-mir-100,0,6,6,38,0,15,0,0,32,0,0,0,0,0,0,24,15,35,16,0,14,0,0,62,5,21,0,0,6,18
hsa-mir-106a_1,23,35,90,32,19,27,17,0,71,0,0,12,0,15,87,16,61,0,8,0,32,7,0,11,8,91,20,25,82,21
hsa-mir-106b_1,1111,1006,1850,800,1317,1363,825,81,1749,90,87,415,71,783,2338,909,1803,174,295,0,1877,285,19,1610,1403,2178,2201,856,2457,970
hsa-mir-107_1,1723,3584,7945,3159,3949,6784,2190,332,5570,63,111,1198,70,2594,5178,1783,5225,610,938,0,5817,561,14,4131,2503,5513,4284,2250,5717,2742
hsa-mir-10a_1,563,1181,692,2973,844,2224,589,134,5832,143,146,551,311,383,0,6916,0,113,1101,0,1165,662,0,3288,466,1085,2732,230,6224,7333
hsa-mir-10b,0,26,7,31,7,31,6,0,62,0,0,0,5,0,29,43,37,5,30,0,23,10,0,43,5,57,72,0,42,50
hsa-mir-1179,0,0,7,7,6,7,10,0,10,0,0,0,0,0,8,0,7,0,0,0,9,0,0,0,0,5,14,5,9,0
hsa-mir-1254-1_1,0,0,6,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
hsa-mir-1254-2,0,0,6,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
hsa-mir-1255a_1,0,7,11,19,0,0,5,0,7,0,0,0,0,0,18,7,0,0,0,0,9,0,0,9,0,8,24,0,23,0
hsa-mir-125a_1,64,477,162,0,131,299,441,35,1370,13,17,56,13,76,560,228,849,15,230,0,349,64,0,763,105,354,954,29,1285,2271
hsa-mir-126_1,180,1179,146,3529,27,216,120,7,2441,82,31,157,28,268,1340,682,1031,28,535,0,43,219,0,544,30,792,2432,6,5385,3485
hsa-mir-1260b,106,64,212,122,33,124,343,22,83,0,0,70,0,42,122,178,81,11,62,0,53,11,0,64,201,75,56,59,262,123
hsa-mir-1268a,0,0,10,0,13,0,5,0,6,0,0,0,0,7,9,0,10,0,0,0,8,0,0,15,19,7,9,0,0,0
hsa-mir-1268b,0,5,11,0,13,0,6,0,6,0,0,5,0,8,12,0,10,0,0,0,9,0,0,17,19,8,9,0,0,0
hsa-mir-1270-1_1,0,13,15,7,7,9,8,0,0,0,0,0,0,0,8,0,9,0,0,0,7,0,0,0,9,9,16,0,0,0
hsa-mir-1270-2_1,0,13,15,7,7,9,8,0,0,0,0,0,0,0,8,0,9,0,0,0,7,0,0,0,9,9,16,0,0,0
hsa-mir-1271_1,13,45,19,20,58,117,52,0,18,0,0,7,0,23,63,11,58,0,0,0,23,0,0,66,63,39,113,7,12,9
hsa-mir-1275,88,72,156,65,80,61,35,13,213,0,5,20,0,136,127,84,193,44,43,0,77,8,0,300,159,154,99,18,98,94
hsa-mir-1277_1,8,29,25,5,20,12,13,0,14,0,0,5,0,6,24,0,23,0,0,0,18,0,0,11,11,18,0,6,22,0
hsa-mir-1278,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,6,0
hsa-mir-128-1_1,461,1591,2675,1131,1606,1345,996,110,1177,121,79,456,62,363,1748,1127,1984,350,453,6,2442,338,33,2476,1865,2330,3615,421,2514,1122
hsa-mir-128-2_1,461,1586,2686,1125,1602,1346,992,110,1169,121,79,454,62,365,1739,1120,1982,350,452,6,2439,333,33,2467,1861,2327,3606,420,2499,1117
hsa-mir-1291_1,0,7,10,6,10,10,12,0,0,0,0,0,0,5,10,0,22,0,0,0,16,0,0,11,11,17,12,5,6,0
hsa-mir-1294_1,0,0,17,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,18,0,0,6,10
hsa-mir-1295a_1,25,164,149,29,214,208,134,6,66,0,8,25,0,12,286,36,231,10,6,0,140,19,0,149,313,122,230,95,6,0
hsa-mir-1296,0,8,12,17,0,5,0,0,10,0,0,0,0,0,20,0,11,0,0,0,6,0,0,13,11,15,15,0,24,15
hsa-mir-1299_1,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,126,0,9,67,0,0
hsa-mir-1301_1,0,26,29,37,13,25,16,0,29,0,0,10,0,11,24,13,24,0,0,0,21,0,0,26,12,29,39,10,48,37
hsa-mir-1306,0,5,6,11,0,5,0,0,9,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,5,5,0,0,9,0
hsa-mir-1307_1,153,232,349,432,180,265,156,21,545,37,59,114,49,224,479,243,420,29,79,0,397,81,5,333,252,340,593,84,726,428
hsa-mir-130a_1,26,146,140,801,11,48,20,62,277,15,6,20,0,42,257,116,237,42,76,0,37,36,0,99,16,144,546,6,731,469
hsa-mir-130b_1,39,219,543,344,202,159,103,15,286,32,16,106,38,47,383,209,420,9,65,0,328,62,0,245,125,330,351,70,705,345
hsa-mir-132_1,34,44,70,115,42,43,27,0,115,0,0,16,6,17,80,122,121,10,21,0,59,21,0,65,33,74,69,24,113,55
hsa-mir-1322,0,5,8,0,6,5,0,0,8,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,5,5,0,6,0
hsa-mir-136_1,6,30,20,14,0,12,7,0,132,0,12,5,0,0,151,46,62,0,20,0,7,10,0,35,0,8,56,0,147,141
hsa-mir-138-1_1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9
hsa-mir-140_1,2299,5279,9487,5499,5119,7645,4363,411,7694,153,161,1459,190,2854,10309,3037,8905,654,1305,5,6207,866,22,6314,6468,4774,6629,2962,8227,3355
hsa-mir-141_1,1208,2475,2111,613,1901,4029,990,68,1914,129,63,832,68,1557,5494,596,4123,150,1072,0,1746,133,6,2601,1574,2986,2157,863,3059,755
hsa-mir-142_1,4867,23455,26793,8250,28876,13316,15056,1317,23851,843,1060,5487,685,7011,31888,2509,34180,1809,3665,12,26211,2039,65,9847,12104,19612,12842,10672,28440,3477
hsa-mir-143_1,5404,5869,15979,20911,8511,586,6948,144,15910,263,58,1886,130,3150,4028,6719,5850,445,1496,0,306,1393,0,4345,4990,1668,2603,705,7867,5116
hsa-mir-144_1,7611,59,24,87,24,31,106,33,313,36,0,36,0,51,516,25,1547,21,44,0,13,53,0,271,39,9738,32,39,36,18
hsa-mir-145_1,0,13,17,33,11,0,10,0,20,0,0,0,0,8,5,10,14,0,0,0,0,0,0,5,14,5,0,0,5,7
hsa-mir-1468_1,16,136,133,58,77,49,122,0,127,12,0,14,6,17,185,70,90,8,6,0,101,45,0,163,89,71,196,57,148,100
hsa-mir-146a_1,1591,1982,3413,10009,26108,3547,1932,205,0,299,65,549,190,718,9341,4362,0,57,1492,0,2178,1072,0,5690,5566,5912,9764,605,10828,17412
hsa-mir-146b_1,69,232,417,214,59,214,109,5,666,9,6,25,10,92,220,145,310,11,63,0,179,67,0,511,43,210,321,60,166,76
hsa-mir-148a_1,2016,44178,94125,19345,55979,25473,37492,1206,20514,1308,2984,5047,1287,2260,20114,10242,116467,3355,3963,75,73036,11432,204,25762,89684,49873,48578,28286,36716,20120
hsa-mir-148b_1,561,1482,2473,1826,1372,1333,915,85,2383,77,68,471,65,1075,3574,715,3614,175,510,0,1662,301,5,1215,1440,1419,2532,814,2351,1159
hsa-mir-150_1,187,837,1183,347,824,1227,563,73,1030,183,69,279,70,865,977,511,1233,84,342,0,941,159,18,2912,1279,1922,2045,483,794,861
hsa-mir-151a_1,417,4982,368,9208,48,1448,195,22,6004,218,103,408,111,2683,9079,2074,2672,143,1478,0,138,455,10,4722,122,1241,7853,26,14709,11780
hsa-mir-151b_1,20,138,7,107,0,31,0,0,95,8,7,15,0,91,248,44,23,9,47,0,0,0,0,199,0,22,44,0,315,131
hsa-mir-152_1,11,22,52,44,10,8,8,0,55,0,0,14,0,19,79,23,43,0,12,0,22,14,0,25,17,6,31,0,51,19
hsa-mir-153-1,0,5,7,6,7,13,5,0,5,0,0,0,0,0,5,0,16,7,20,0,7,0,0,28,5,14,0,0,20,0
hsa-mir-153-2,0,5,7,6,7,13,5,0,5,0,0,0,0,0,5,0,16,7,20,0,7,0,0,28,5,14,0,0,20,0
hsa-mir-155_1,0,10,16,5,22,14,13,0,7,0,0,0,0,0,14,0,20,0,0,0,16,5,0,0,11,7,15,0,0,0
hsa-mir-15a_1,4373,1660,1202,6343,0,17915,0,1761,0,953,1154,7279,564,3656,0,6555,0,4816,4309,0,20581,2322,98,34585,9393,22827,52641,7916,28368,5306
hsa-mir-15b_1,117,74,314,94,36,46,32,9,112,6,0,50,5,45,164,34,178,8,18,0,107,14,0,43,60,188,66,15,139,57
hsa-mir-16-1_1,0,0,8,6,27,18,15,0,12,0,0,13,0,0,40,0,20,0,6,0,25,0,0,10,21,10,23,6,19,0
hsa-mir-16-2_1,256,1132,1668,261,414,944,413,94,523,38,15,266,19,148,856,507,689,55,169,0,801,110,0,946,504,1313,791,198,1861,675
hsa-mir-17_1,160,452,693,256,604,591,310,19,399,22,19,130,16,202,558,76,755,46,92,0,755,63,0,493,450,762,558,229,880,230
hsa-mir-181a-2_1,82,573,128,689,121,95,148,34,527,0,6,231,11,153,669,1944,816,36,85,0,443,132,0,989,108,296,720,42,641,339
hsa-mir-181c_1,18,93,55,258,24,15,34,0,234,0,0,54,0,28,158,76,158,5,43,0,60,15,0,115,30,48,294,21,344,259
hsa-mir-181d_1,10,52,32,119,16,21,15,0,129,6,0,13,0,17,106,33,103,6,14,0,28,8,0,45,14,21,73,6,116,94
hsa-mir-182_1,1202,1338,583,472,151,123,129,53,880,150,46,132,22,89,670,289,1028,23,146,0,378,181,0,437,157,5877,496,68,1641,1954
hsa-mir-183_1,148,78,44,14,23,11,10,0,62,12,5,0,0,10,33,12,98,0,12,0,15,0,0,25,16,440,6,0,50,41
hsa-mir-185_1,8,13,13,34,0,7,5,0,21,0,0,0,0,0,14,6,19,0,0,0,8,0,0,9,0,20,36,0,49,29
hsa-mir-186_1,2239,21718,23036,11595,19383,34286,12119,535,16375,1085,875,1803,1028,4238,22972,5980,31634,504,1518,12,24992,4608,24,18338,13831,19392,29131,7898,23593,8853
hsa-mir-188_1,0,0,6,0,0,11,0,0,5,0,0,0,0,0,5,0,6,0,0,0,5,0,0,0,0,8,0,0,0,0
hsa-mir-18a_1,11,29,14,16,21,22,9,0,30,0,0,0,0,0,15,23,27,0,0,0,32,0,0,36,26,40,33,0,74,28
hsa-mir-18b,11,0,14,6,0,7,0,0,13,0,0,7,0,0,15,0,14,0,0,0,0,0,0,6,0,19,6,0,13,5
hsa-mir-190a_1,19,15,30,19,27,0,18,0,24,0,0,0,0,5,17,0,11,0,0,0,7,0,0,7,0,148,36,0,48,28
hsa-mir-190b_1,0,8,8,29,18,22,8,0,30,0,0,0,0,7,38,7,30,0,0,0,7,0,0,8,11,6,11,8,14,0
hsa-mir-191_1,6,22,18,22,12,6,13,0,23,0,0,5,0,0,19,26,21,0,0,0,21,0,0,30,17,24,22,7,40,41
hsa-mir-1910_1,0,9,8,0,11,0,12,0,7,0,0,0,0,0,6,9,0,7,0,0,13,0,0,8,9,6,9,0,23,19
hsa-mir-192_1,5049,14599,12148,6842,7494,12682,7592,763,8149,470,272,4060,308,3688,11571,3871,26598,1367,1539,6,11558,1323,24,10349,7351,16838,14898,3830,8555,4360
hsa-mir-193a_1,6,0,12,13,0,0,0,0,20,0,0,0,0,0,67,0,7,0,0,0,8,0,0,0,5,0,0,0,15,0
hsa-mir-193b_1,0,15,13,5,0,0,0,7,41,0,0,0,0,0,13,9,11,0,15,0,8,0,0,6,0,8,5,8,128,54
hsa-mir-195_1,0,12,16,11,13,44,0,0,6,0,0,0,0,16,27,7,24,0,0,0,24,5,0,41,30,24,19,5,23,5
hsa-mir-196b_1,16,22,12,47,15,16,11,0,83,0,0,0,0,12,75,28,47,0,0,0,20,12,0,12,9,19,22,0,48,25
hsa-mir-197_1,564,1525,1426,2377,1045,1204,986,116,2947,21,18,315,16,761,1731,1728,2265,146,305,0,1474,151,0,1755,2782,1056,3223,450,1868,1162
hsa-mir-199b_1,197,1331,512,2890,247,259,319,27,2665,56,25,245,35,369,1225,935,889,66,284,0,197,222,0,640,259,361,2296,117,6015,3007
hsa-mir-19a_1,93,416,331,134,601,724,262,29,679,15,7,58,19,82,863,76,495,8,38,0,640,99,0,302,408,304,381,188,947,159
hsa-mir-200a_1,14,23,27,11,9,34,21,0,46,5,0,9,0,22,43,19,47,7,11,0,26,7,0,16,11,24,31,7,103,24
hsa-mir-200b_1,11,43,49,23,13,39,39,0,42,5,0,11,0,12,59,53,40,0,8,0,44,11,0,34,31,22,61,6,123,32
hsa-mir-200c_1,23,60,81,32,41,70,27,0,69,0,0,21,6,38,166,23,112,0,20,0,71,10,0,47,33,74,76,54,88,28
hsa-mir-20a_1,0,14,19,6,16,18,9,0,8,0,0,6,0,0,16,0,22,0,0,0,29,0,0,10,17,17,11,7,22,0
hsa-mir-20b_1,36,28,162,30,13,22,9,5,92,0,0,25,0,13,128,23,66,0,23,0,25,19,0,13,6,140,25,35,124,22
hsa-mir-21_1,1277,5561,9196,6379,3564,4100,2837,487,8586,133,122,4099,118,1691,5487,1068,8689,842,1424,0,6016,267,20,4124,3619,3468,5922,1109,3727,2694
hsa-mir-210_1,132,116,300,136,164,140,72,10,168,12,11,34,0,65,171,22,198,29,51,0,157,12,0,111,85,202,110,75,169,60
hsa-mir-2110_1,0,11,12,11,10,18,6,0,9,0,0,0,0,6,18,5,10,0,0,0,5,0,0,12,14,5,20,0,13,8
hsa-mir-2115,0,6,7,6,0,0,0,0,20,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,5,0,0,0,0,0
hsa-mir-2116_1,0,0,24,5,17,38,16,0,9,0,0,0,0,0,11,5,11,0,0,0,22,8,0,26,27,45,15,20,16,7
hsa-mir-212_1,0,16,9,15,6,0,6,0,14,0,0,6,0,0,6,19,9,0,0,0,9,0,0,5,9,11,17,0,23,12
hsa-mir-215_1,14,79,80,28,39,85,50,5,37,0,0,13,0,17,61,19,130,7,17,0,78,8,0,63,80,107,78,39,40,29
hsa-mir-219-1_1,0,0,7,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,5
hsa-mir-22_1,15132,28422,44021,65426,34828,11971,16563,2045,62733,1711,1350,11945,2260,9521,42739,41259,60530,2329,9542,9,38797,10476,46,40004,16230,53097,71938,10149,91124,58225
hsa-mir-221_1,1279,4708,5072,5576,7364,7158,4429,386,5779,200,172,1564,174,3146,10032,3072,7673,731,1312,6,6278,955,27,4496,2023,5104,11141,2649,13344,5151
hsa-mir-222_1,379,1386,1115,1172,1734,1843,1357,71,1234,45,33,366,42,799,3028,1020,1810,145,315,0,1705,250,5,1114,453,1378,1881,748,4307,1102
hsa-mir-223,42,92,63,95,107,96,46,0,201,5,0,6,6,60,124,90,95,0,20,0,74,25,0,65,76,98,82,16,151,39
hsa-mir-223_1,3850,11475,13109,19273,11215,2272,7881,209,21578,671,351,1852,325,3707,5908,9485,7133,349,1111,0,3028,1293,0,4589,4999,5598,5229,1080,7988,2365
hsa-mir-2277_1,5,0,19,15,18,0,10,0,0,0,0,7,0,5,0,13,18,0,0,0,27,5,0,0,10,27,0,12,0,12
hsa-mir-2355,8,33,20,48,28,23,11,0,42,0,0,0,0,9,46,14,18,0,8,0,23,0,0,24,22,21,40,0,80,45
hsa-mir-23a_1,778,1863,3289,2467,1884,1063,1615,172,3711,91,133,861,95,818,3509,1696,3629,172,554,0,1892,376,0,2205,2074,1902,2498,592,2171,1181
hsa-mir-23b_1,604,1135,2475,1346,1227,854,892,114,1491,64,84,620,41,599,2432,984,2588,129,374,0,1430,203,0,1643,1614,1504,1799,471,1246,680
hsa-mir-24-1_1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,7,0
hsa-mir-24-2_1,12,74,62,105,58,35,34,0,135,0,5,10,0,17,85,49,92,0,14,0,48,23,0,55,29,37,84,11,128,65
hsa-mir-2467_1,9,10,18,30,8,5,7,0,45,0,0,14,0,8,13,5,25,0,5,0,10,0,0,12,10,19,18,0,7,11
hsa-mir-25,0,39,35,24,38,33,15,0,48,0,0,10,5,17,79,45,51,0,11,0,68,13,0,84,46,51,60,26,69,32
hsa-mir-25_1,7019,15567,26309,15797,12176,19210,12015,1242,22258,1559,852,3865,1162,6672,29800,11373,34752,2414,2938,36,24177,2924,296,12025,28091,25066,14950,10222,17244,8305
hsa-mir-26a-2_1,25,91,79,29,79,45,45,8,63,8,8,18,6,58,236,11,128,12,16,0,94,10,0,61,80,80,81,26,43,8
hsa-mir-26b_1,78,328,224,178,271,191,239,7,209,11,11,44,15,96,526,168,199,24,47,0,199,39,0,275,203,244,333,70,314,128
hsa-mir-27a_1,6889,22215,81062,21376,29665,18135,20444,2480,24000,1953,2221,9212,2269,5669,35885,12547,54725,2387,5017,32,56644,4166,199,27601,36305,28390,42019,20346,26252,13657
hsa-mir-27b_1,3923,17134,71872,22373,19324,13474,10716,1896,16739,1478,909,5785,1707,4438,27119,9706,48684,1915,4022,30,54689,3289,162,18456,31774,20995,38364,19841,30309,17931
hsa-mir-28_1,3394,20641,36127,20683,23575,58293,20803,947,23333,2535,1348,4946,1099,9955,42044,13695,53606,1128,3521,30,30650,7272,119,34242,37458,21609,31907,13532,30363,11850
hsa-mir-296_1,0,0,19,0,9,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,14,0,0,0,18,13,25,0,0,0
hsa-mir-29a_1,12285,44363,68412,18750,74715,109392,30443,1984,36810,1429,1461,8556,838,19764,79126,8819,83553,2140,7051,32,59056,6695,132,51095,39745,60559,31445,17561,31977,7238
hsa-mir-29b-1_1,0,16,16,0,28,32,11,0,14,0,0,0,0,10,21,8,12,0,0,0,20,0,0,20,5,24,11,0,14,9
hsa-mir-29b-2_1,5,5,7,5,13,19,0,0,7,0,0,0,0,5,0,0,27,0,0,0,13,0,0,12,5,6,7,0,12,10
hsa-mir-29c_1,1981,4321,6518,1520,8216,10291,2797,234,2674,140,78,1329,103,3635,5053,633,17846,219,1145,7,9790,769,10,8407,5958,7911,7879,883,7356,1565
hsa-mir-301a_1,174,506,881,853,326,265,230,23,1273,24,14,127,38,126,751,268,649,20,65,0,500,164,0,302,255,433,661,114,1096,588
hsa-mir-301b_1,12,90,179,131,52,28,33,0,149,11,0,21,15,12,127,44,139,0,34,0,74,28,0,45,43,57,76,19,166,74
hsa-mir-3064,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-3074,0,6,9,9,10,11,0,0,0,0,0,0,0,5,7,6,18,0,0,0,10,0,0,6,7,15,13,0,17,14
hsa-mir-30a_1,33,263,101,0,80,203,95,24,0,10,0,0,7,88,272,92,0,17,0,0,121,51,0,0,117,69,0,94,0,0
hsa-mir-30b_1,0,47,34,0,14,14,9,0,5,0,0,0,0,0,23,0,12,0,0,0,24,0,0,30,14,20,42,15,12,9
hsa-mir-30c-1_1,11,51,52,45,25,17,22,0,30,0,5,11,7,11,60,25,55,0,6,0,56,15,0,79,51,59,78,25,89,45
hsa-mir-30d_1,76,556,520,261,219,275,253,38,324,32,40,82,14,92,446,62,531,72,71,0,487,88,5,272,338,387,478,183,480,152
hsa-mir-30e_1,443,1951,2297,1416,1705,1641,1366,134,2027,214,192,313,161,785,2322,1071,3395,172,393,5,2112,500,29,1961,2301,1942,2572,1153,2664,954
